filename,size,room_dim,material_ceil,material_floor,material_wall,source,mic,rt60,max_order,ray_tracing,sr,MSE_DFN Average,MSE_DFN 125 Hz,MSE_DFN 250 Hz,MSE_DFN 500 Hz,MSE_DFN 1000 Hz,MSE_DFN 2000 Hz,MSE_DFN 4000 Hz
/Users/dalsag1/Documents/datasets/ism_short/4fa8eccd-950f-4dca-87cc-42a41b93a986.wav,medium,[12.347  8.019  4.21 ],ceiling_metal_panel,audience_floor,smooth_brickwork_10mm_pointing,[6.631 2.216 1.405],[4.84  1.308 0.689],2.59595833,100,True,48000,inf,1128.6671,3526.5593,12238.719,43825.1,172802.94,inf
/Users/dalsag1/Documents/datasets/ism_short/33fa43fe-eb44-4df8-b0bc-a7e5cf83c865.wav,medium,[14.017  9.892  3.456],ceiling_metal_panel,carpet_cotton,plasterboard,[8.933 7.492 0.745],[9.438 6.45  1.83 ],4.33304167,100,True,48000,4.344676872987207,5.2991767,8.641808,0.93841255,1.0514362,2.8986135,7.238615
/Users/dalsag1/Documents/datasets/ism_short/2f865354-98bb-4e4a-8699-923d584799b6.wav,medium,[11.654  7.744  4.627],ceiling_melamine_foam,carpet_tufted_9m,smooth_brickwork_10mm_pointing,[5.004 7.1   0.557],[8.071 6.474 0.942],3.05960417,100,True,48000,11.132493659007622,1.4044441,1.4266899,17.198505,12.245289,13.871003,20.64903
/Users/dalsag1/Documents/datasets/ism_short/b4528352-4505-438e-b0fe-2809f1d786ea.wav,medium,[14.675  9.186  3.012],ceiling_melamine_foam,carpet_tufted_9m,limestone_wall,[5.781 0.92  0.998],[1.091 6.07  0.496],9.64547917,100,True,48000,0.809945078874939,1.5229062,1.0853192,0.62811357,0.64249426,0.6110419,0.36979547
/Users/dalsag1/Documents/datasets/ism_short/b8dca70c-16a7-4c2b-a87c-9e6fbd2cd67a.wav,medium,[13.8    9.351  3.268],ceiling_melamine_foam,carpet_hairy,plasterboard,[11.614  7.87   2.513],[9.118 3.765 1.537],4.88652083,100,True,48000,4.275237810599497,3.8867095,4.560311,1.146351,4.3163385,7.764437,3.97728
/Users/dalsag1/Documents/datasets/ism_short/9891b24b-a65e-4356-9460-0a834c5963f1.wav,medium,[10.047  7.149  3.996],ceiling_plasterboard,carpet_hairy,limestone_wall,[4.303 1.725 1.061],[7.084 0.583 0.322],7.8411875,100,True,48000,0.48241339784451,0.7376647,0.3331226,0.3371118,0.35463634,0.55838424,0.5735607
/Users/dalsag1/Documents/datasets/ism_short/454309b2-d31e-4ece-8835-4cc11a3b8d46.wav,large,[23.812 14.894  7.676],ceiling_plasterboard,audience_floor,plasterboard,[11.205 14.371  6.107],[22.992  4.416  4.75 ],8.26833333,100,True,48000,0.2413130320937614,0.2517295,0.22782956,0.3690252,0.29659462,0.08231423,0.22038513
/Users/dalsag1/Documents/datasets/ism_short/4ff7eecf-e239-40c4-bf16-15c45d3e996b.wav,large,[15.517 12.318  7.33 ],ceiling_plasterboard,carpet_tufted_9m,wooden_lining,[12.72   7.928  5.165],[2.204 1.166 4.271],2.64329167,100,True,48000,131.63252715304642,275.95123,320.70767,152.81648,16.879736,16.341507,7.0985384
/Users/dalsag1/Documents/datasets/ism_short/a1b78340-119e-4c0d-bfca-53abaa29f6c0.wav,large,[18.247 18.184  6.752],ceiling_plasterboard,carpet_hairy,smooth_brickwork_10mm_pointing,[17.389 11.78   1.139],[ 6.043 12.745  4.235],4.66979167,100,True,48000,15.455874861660662,4.532791,2.1547828,6.709053,12.790996,29.666653,36.880974
/Users/dalsag1/Documents/datasets/ism_short/9cbc62c7-59d5-42e4-b0df-5a482bfec194.wav,large,[20.807 16.488  8.684],ceiling_plasterboard,carpet_hairy,plasterboard,[ 6.576 11.102  7.822],[ 0.334 14.917  6.19 ],7.46235417,100,True,48000,0.7279625205705514,1.9014376,1.3162243,0.4594288,0.41551083,0.10978789,0.16538565
/Users/dalsag1/Documents/datasets/ism_short/ba45692e-6e8c-4590-b7b7-9abc61b058ca.wav,large,[21.196 14.391  6.073],ceiling_metal_panel,audience_floor,plasterboard,[15.979 13.608  1.764],[11.804 11.385  1.876],6.7170625,100,True,48000,0.6699144499981445,2.431731,0.5037048,0.5010787,0.27690056,0.10827192,0.19779983
/Users/dalsag1/Documents/datasets/ism_short/8d16b239-b0b4-4fc8-a9f4-9856d5ed7811.wav,large,[21.68  16.55   6.221],ceiling_melamine_foam,carpet_hairy,limestone_wall,[ 6.003 14.882  5.349],[13.341 14.935  5.454],9.9183125,100,True,48000,0.9825667503670598,0.79317576,0.1666016,0.2539995,2.1513016,0.9218355,1.6084867
/Users/dalsag1/Documents/datasets/ism_short/8cff8e60-6081-4cc9-8376-32cc47bfa05e.wav,large,[22.265 15.74   9.55 ],ceiling_plasterboard,audience_floor,limestone_wall,[17.751 10.695  7.539],[15.151  0.578  7.049],9.6944375,100,True,48000,0.38218175484846517,0.9264149,0.19563968,0.5320251,0.1732323,0.23442921,0.23134935
/Users/dalsag1/Documents/datasets/ism_short/7d54baf1-7604-438c-a94b-a30a8ce6fa8f.wav,large,[24.693 11.41   5.479],ceiling_plasterboard,carpet_hairy,plasterboard,[3.748 9.406 2.372],[7.489 9.314 0.275],6.8221875,100,True,48000,0.48546530580779607,1.4312601,0.41664296,0.36144143,0.16238658,0.22245793,0.31860286
/Users/dalsag1/Documents/datasets/ism_short/8aeca9f3-94ec-4e2b-ad78-6b641293d781.wav,large,[17.519 13.035  7.084],ceiling_metal_panel,audience_floor,plasterboard,[2.4   8.83  2.197],[4.334 9.704 5.644],6.108,100,True,48000,0.6242706549949368,2.2120638,0.71350145,0.29711744,0.24465895,0.10536437,0.17291784
